Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Influence Maximization in Social Media Networks Using Hypergraphs","Green, Pervasive, and Cloud Computing","","","","10.1007/978-3-319-57186-7_17","Flora AmatoVincenzo MoscatoAntonio PicarielloGiancarlo Sperlí","2017","http://link.springer.com/chapter/10.1007/978-3-319-57186-7_17","Chapter"
"Preface","Natural Computing","","18","4","10.1007/s11047-019-09770-6","Giancarlo MauriSamira El YacoubiStefania Bandini","2019","http://link.springer.com/article/10.1007/s11047-019-09770-6","Article"
"Computational Complexity Aspects in Membrane Computing","Programs, Proofs, Processes","","","","10.1007/978-3-642-13962-8_35","Giancarlo MauriAlberto LeporatiAntonio E. PorrecaClaudio Zandron","2010","http://link.springer.com/chapter/10.1007/978-3-642-13962-8_35","Chapter"
"An Agent Architecture for Planning in a Dynamic Environment","AI*IA 2001: Advances in Artificial Intelligence","","","","10.1007/3-540-45411-X_41","Giuliano ArmanoGiancarlo CherchiEloisa Vargiu","2001","http://link.springer.com/chapter/10.1007/3-540-45411-X_41","Chapter"
"Pattern Discovery in Conceptual Models Using Frequent Itemset Mining","Conceptual Modeling","","","","10.1007/978-3-031-17995-2_4","Mattia FumagalliTiago Prince SalesGiancarlo Guizzardi","2022","http://link.springer.com/chapter/10.1007/978-3-031-17995-2_4","Chapter"
"Optimal Control for Real-Time Feedback Rate-Monotonic Schedulers","Computer and Information Sciences - ISCIS 2005","","","","10.1007/11569596_91","Tolga AyavGiancarlo Ferrari-Trecate","2005","http://link.springer.com/chapter/10.1007/11569596_91","Chapter"
"Capturing Multi-level Models in a Two-Level Formal Modeling Technique","Conceptual Modeling","","","","10.1007/978-3-030-33223-5_5","João Paulo A. AlmeidaFernando A. MussoVictorio A. CarvalhoClaudenir M. FonsecaGiancarlo Guizzardi","2019","http://link.springer.com/chapter/10.1007/978-3-030-33223-5_5","Chapter"
"SASCr3: A Real Time Hardware Coprocessor for Stereo Correspondence","Image Analysis and Recognition","","","","10.1007/978-3-319-11755-3_43","Luca PugliaMario VigliarGiancarlo Raiconi","2014","http://link.springer.com/chapter/10.1007/978-3-319-11755-3_43","Chapter"
"FURG Smart Games: A Proposal for an Environment to Game Development with Software Reuse and Artificial Intelligence","Networked Digital Technologies","","","","10.1007/978-3-642-30507-8_32","Carlos Alberto B. C. W. MadsenGiancarlo LuccaGuilherme B. DanielDiana F. Adamatti","2012","http://link.springer.com/chapter/10.1007/978-3-642-30507-8_32","Chapter"
"Integrated Optics for Sensors: A Review of the Activity in Italy","Optical Fiber Sensors","","","","10.1007/978-94-009-3611-9_31","Giancarlo C. Righini","1987","http://link.springer.com/chapter/10.1007/978-94-009-3611-9_31","Chapter"
"A Clustering Reputation-Based Framework in Edge-Based IoT Environments","Intelligent Distributed Computing XIV","","","","10.1007/978-3-030-96627-0_41","Giancarlo FortinoLidia FotiaFabrizio MessinaDomenico RosaciGiuseppe M. L. Sarné","2022","http://link.springer.com/chapter/10.1007/978-3-030-96627-0_41","Chapter"
"Cyber-Physical Energy Systems Approach for Engineering Power System State Estimation in Smart Grids","Soft Computing Applications","","","","10.1007/978-3-319-62521-8_11","Seshadhri SrinivasanØystein Hov HolhjemGiancarlo MarafiotiGeir MathisenAlessio MaffeiGiovanni PalmieriLuigi IannelliLuigi Glielmo","2018","http://link.springer.com/chapter/10.1007/978-3-319-62521-8_11","Chapter"
"Towards an Improvement of Interpersonal Relationships in Children with Autism Using a Serious Game","Advances in Emerging Trends and Technologies","","","","10.1007/978-3-030-32033-1_29","Giancarlo Alvarez ReyesValeria Espinoza TixiDiego Avila-PesantezLeticia Vaca-CardenasL. Miriam Avila","2020","http://link.springer.com/chapter/10.1007/978-3-030-32033-1_29","Chapter"
"Recombinant DNA ,Gene Splicing as Generative Devices of Formal Languages","New Computational Paradigms","","","","10.1007/11494645_8","Paola BonizzoniClelia De FeliceGiancarlo Mauri","2005","http://link.springer.com/chapter/10.1007/11494645_8","Chapter"
"A Review of Internet of Things Platforms Through the IoT-A Reference Architecture","Intelligent Distributed Computing XIV","","","","10.1007/978-3-030-96627-0_3","Giancarlo FortinoAntonio GuerrieriClaudio SavaglioGiandomenico Spezzano","2022","http://link.springer.com/chapter/10.1007/978-3-030-96627-0_3","Chapter"
"Integrating Jade and MAPS for the Development of Agent-Based WSN Applications","Intelligent Distributed Computing VI","","","","10.1007/978-3-642-32524-3_27","Mariusz MesjaszDomenico CimadoroStefano GalzaranoMaria GanzhaGiancarlo FortinoMarcin Paprzycki","2013","http://link.springer.com/chapter/10.1007/978-3-642-32524-3_27","Chapter"
"Human Interface and Competitive Intelligence in Management of Business Science Teaching Research","HCI International 2022 – Late Breaking Posters","","","","10.1007/978-3-031-19682-9_36","César Eduardo Jiménez-CalderónPetronila Liliana Mairena-FoxGiancarlo Mariano Mancarella-Valladares","2022","http://link.springer.com/chapter/10.1007/978-3-031-19682-9_36","Chapter"
